,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
125,10000,126001,[0.97271419 0.96721187 0.92036858 0.94521691],[0.99594523 0.99306579 0.96939094 0.9812406 ],[0.95287629 0.93058038 0.90654198 0.91062618],[0.98864884 0.9809962  0.9657212  0.96014615],[0.9441138  0.93335736 0.89211013 0.8881294 ],[0.987113   0.98346817 0.95677163 0.95688396]
126,10000,127001,[0.97355236 0.96828132 0.94164858 0.94452593],[0.99687617 0.99338969 0.9800377  0.98135539],[0.95558297 0.93921532 0.91384019 0.89478883],[0.9896136  0.98296108 0.96629915 0.95869021],[0.93416361 0.91489146 0.91085014 0.88659237],[0.98149482 0.97601899 0.96012033 0.9537685 ]
127,10000,128001,[0.96726092 0.96682164 0.94108709 0.91659783],[0.99368539 0.99290289 0.98035064 0.96722745],[0.9461596  0.93918775 0.90826486 0.90831875],[0.98421929 0.98636829 0.95914875 0.9589191 ],[0.93089939 0.91421911 0.90900901 0.91829061],[0.98344157 0.97648141 0.96486879 0.96685901]
128,10000,129001,[0.96466083 0.98751305 0.94488433 0.94479165],[0.99362814 0.99744657 0.98150461 0.98249823],[0.939391   0.91525776 0.91224299 0.90208397],[0.98067283 0.96996886 0.9601705  0.95188934],[0.94274398 0.91742519 0.90223516 0.90073094],[0.98838549 0.97633402 0.95899844 0.96267751]
129,10000,130001,[0.96613108 0.96783653 0.92010717 0.93577987],[0.99395959 0.99305713 0.96927188 0.97802911],[0.94144664 0.92437174 0.90320225 0.89943214],[0.98357682 0.97664281 0.95848342 0.95844111],[0.95266792 0.92385125 0.905145   0.90152324],[0.98877467 0.9800734  0.96064978 0.96183208]
130,10000,131001,[0.97550422 0.96865551 0.94212164 0.94816102],[0.99666198 0.99358367 0.97922831 0.98321423],[0.95526191 0.934494   0.91493854 0.90195199],[0.99013701 0.98172953 0.96990821 0.95974814],[0.94459731 0.91569271 0.88495444 0.87368699],[0.9840339  0.97252169 0.95250288 0.93283058]
131,10000,132001,[0.96213729 0.96937648 0.92145039 0.9416521 ],[0.9934389  0.99376577 0.96864633 0.97971762],[0.94537583 0.92060807 0.9242746  0.91450141],[0.98679318 0.97452229 0.97412972 0.96896068],[0.94027158 0.92224091 0.89729508 0.89271002],[0.98587111 0.98029232 0.9555477  0.95648766]
132,10000,133001,[0.96434944 0.96781997 0.94411912 0.94558533],[0.99404711 0.9931675  0.97785966 0.98280764],[0.94390049 0.93493291 0.90095056 0.89733083],[0.98557519 0.98328611 0.95803534 0.9525437 ],[0.93814698 0.91655603 0.90909798 0.90373656],[0.98612717 0.97794167 0.96667279 0.96410473]
133,10000,134001,[0.96352244 0.96637209 0.94408747 0.94374282],[0.99289401 0.9932736  0.97864589 0.98209095],[0.94779435 0.94156475 0.91032341 0.89969997],[0.98927088 0.98355994 0.96412667 0.95871302],[0.95867514 0.94188882 0.89986849 0.87619057],[0.99149698 0.98560855 0.96067187 0.95554128]
134,10000,135001,[0.96353702 0.97231826 0.9463901  0.942699  ],[0.99350651 0.99454537 0.97960433 0.98098201],[0.95216082 0.93463024 0.897057   0.91006212],[0.99004535 0.98278295 0.95334216 0.96284969],[0.9372534  0.91500527 0.90633899 0.89419487],[0.9850987  0.98144623 0.96448971 0.95595059]
135,10000,136001,[0.96437473 0.96876142 0.94138935 0.94142086],[0.99399433 0.99398096 0.97890064 0.98116549],[0.94276627 0.91636986 0.92118969 0.90640439],[0.98356872 0.9754284  0.96457351 0.96309307],[0.93716364 0.92326962 0.91964491 0.90187895],[0.98436878 0.97556391 0.97193043 0.96294812]
