,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
138,20000,139001,[0.73212586 0.78942437 0.64659798],[0.80110672 0.86013128 0.70083102],[0.6886144  0.7446     0.63369034],[0.75245    0.82289268 0.6714442 ],[0.68061574 0.75514532 0.61734021],[0.74101288 0.82526496 0.66687582]
139,20000,140001,[0.69643662 0.78249679 0.64059506],[0.76315865 0.85322809 0.69367906],[0.68142526 0.75665999 0.62839561],[0.74063367 0.82801524 0.66736242],[0.67730758 0.74813091 0.63102872],[0.73523224 0.81756916 0.68167974]
140,20000,141001,[0.69914171 0.7783993  0.65211241],[0.76228202 0.85562167 0.70399147],[0.68206602 0.74959871 0.63168685],[0.73207893 0.81968552 0.67865509],[0.68496754 0.73993345 0.63581491],[0.74148954 0.81287425 0.68328025]
141,20000,142001,[0.72840871 0.78934251 0.64901804],[0.79786461 0.85939287 0.70481967],[0.67554989 0.73698327 0.6252863 ],[0.7302918  0.80182359 0.66782414],[0.67466815 0.73489745 0.62555346],[0.74016871 0.81641186 0.67382691]
142,20000,143001,[0.70024221 0.78719553 0.64883351],[0.76405698 0.859673   0.70023111],[0.6949605  0.74443026 0.64286287],[0.74911347 0.81426265 0.69031611],[0.66021094 0.74478497 0.61285872],[0.71979309 0.821128   0.66037091]
143,20000,144001,[0.71458094 0.78527834 0.64811232],[0.78431866 0.85942311 0.70264544],[0.69357306 0.75961887 0.63173916],[0.75170359 0.82132945 0.67148134],[0.66292729 0.74974655 0.61046262],[0.72307095 0.82035276 0.66322103]
144,20000,145001,[0.72081392 0.78267098 0.66150912],[0.79147866 0.85471871 0.72198071],[0.68296782 0.75443261 0.64336934],[0.73702916 0.82626141 0.68755708],[0.67677718 0.74510122 0.62107893],[0.73541601 0.81522405 0.67420866]
145,20000,146001,[0.69429862 0.78357761 0.65267709],[0.76374111 0.85800373 0.70978389],[0.67757501 0.74082244 0.62516188],[0.73578667 0.80786756 0.66748378],[0.67165626 0.74406272 0.63047667],[0.73083044 0.81625398 0.6811972 ]
146,20000,147001,[0.71637125 0.77994789 0.64313312],[0.783462   0.85366785 0.69294696],[0.6721845  0.75242226 0.64177574],[0.73004441 0.82039558 0.68332017],[0.69337938 0.7534513  0.62916918],[0.75627547 0.82412427 0.67798276]
147,20000,148001,[0.72106586 0.78412369 0.65704422],[0.78868221 0.85595341 0.71344233],[0.68589875 0.75323221 0.61678406],[0.74397749 0.81949304 0.66269889],[0.68389732 0.74375118 0.60699226],[0.74531642 0.81415411 0.655029  ]
148,20000,149001,[0.72294759 0.77876474 0.66223238],[0.79370955 0.85006785 0.72257636],[0.6919646  0.74377867 0.63448815],[0.74685889 0.81560424 0.68033002],[0.67023061 0.74000325 0.62251925],[0.73612118 0.80754962 0.66800055]
149,20000,150001,[0.72758089 0.77631541 0.6459587 ],[0.79304823 0.85293786 0.69865701],[0.66930834 0.75341903 0.62146234],[0.7304916  0.82327206 0.66524838],[0.68148447 0.74050627 0.63576969],[0.73960697 0.81173302 0.68090848]
150,20000,151001,[0.73228615 0.78070899 0.64087206],[0.79839727 0.8569276  0.69363239],[0.66505279 0.73829438 0.6345034 ],[0.7202581  0.81303145 0.68217312],[0.66295245 0.74998657 0.62014829],[0.72869943 0.82626554 0.66112082]
151,20000,152001,[0.69980252 0.77877601 0.66585013],[0.76456052 0.85228373 0.72610056],[0.675423   0.75477726 0.60687921],[0.73928909 0.81841488 0.64891343],[0.68002244 0.74799693 0.61731129],[0.73971713 0.81270761 0.67339238]
